ItemType,ItemIdentifier,OptShift,CrewTypeID,CrewTypeCode,CrewNum,Sequence,DistanceTravelForJob,PointsCalculatedForJob,PlanStartDate,PlanEndDate
Job,2968611,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,153,0.02,50.0,2023-10-17T13:09:49.0,2023-10-17T13:24:49.0
Job,2784150,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,70,0.02,50.0,2023-10-17T08:41:57.0,2023-10-17T08:56:57.0
Job,2968984,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,92,7.4299,50.0,2023-10-17T10:07:41.0,2023-10-17T10:22:41.0
Job,2968666,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,93,0.28,50.0,2023-10-17T10:23:01.0,2023-10-17T10:38:01.0
Job,2968655,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,107,0.33,50.0,2023-10-17T11:40:34.0,2023-10-17T11:55:34.0
Job,2968981,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,96,6.4699,50.0,2023-10-17T11:17:14.0,2023-10-17T11:32:14.0
Job,2929272,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,95,0.27,50.0,2023-10-17T10:54:16.0,2023-10-17T11:09:16.0
Job,2968893,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,91,0.17,50.0,2023-10-17T09:42:44.0,2023-10-17T09:57:44.0
Job,2784190,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,90,0.03,50.0,2023-10-17T09:27:29.0,2023-10-17T09:42:29.0
Job,2851712,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,108,0.0,50.0,2023-10-17T11:55:34.0,2023-10-17T12:10:34.0
Job,2968875,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,144,0.33,50.0,2023-10-17T12:53:40.0,2023-10-17T13:08:40.0
Job,2968895,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,75,0.05,50.0,2023-10-17T09:00:45.0,2023-10-17T09:15:45.0
Job,2968669,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,94,0.88,50.0,2023-10-17T10:39:12.0,2023-10-17T10:54:12.0
Job,2969084,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,69,0.05,50.0,2023-10-17T08:26:56.0,2023-10-17T08:41:56.0
Job,2784248,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,50,0.0,50.0,2023-10-17T07:59:46.0,2023-10-17T08:14:46.0
Job,2917261,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,123,0.23,50.0,2023-10-17T12:17:32.0,2023-10-17T12:32:32.0
Job,2968878,2023-10-17T07:30:00.0,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,1,196,0.05,50.0,2023-10-17T13:48:17.0,2023-10-17T14:03:17.0
Job,2784836,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,87,9.05,50.0,2023-10-17T09:05:43.0,2023-10-17T09:20:43.0
