ItemType,ItemIdentifier,OptShift,CrewTypeID,CrewTypeCode,CrewNum,Sequence,DistanceTravelForJob,PointsCalculatedForJob,PlanStartDate,PlanEndDate
Segment Start,5218007559,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,176,0.0,,2023-10-17T08:15:25.0,2023-10-17T08:15:25.0
Segment End,5218007559,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,177,0.0328947,,2023-10-17T08:15:28.0,2023-10-17T08:15:28.0
Segment Start,5510006611,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,24,0.0,,2023-10-17T07:37:36.0,2023-10-17T07:37:36.0
Segment End,5510006611,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,25,0.1682546,,2023-10-17T07:37:52.0,2023-10-17T07:37:52.0
Segment Start,5236108534,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,146,0.0,,2023-10-17T08:12:29.0,2023-10-17T08:12:29.0
Segment End,5236108534,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,147,0.0283472,,2023-10-17T08:12:32.0,2023-10-17T08:12:32.0
Segment Start,5236210924,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,98,0.0,,2023-10-17T08:08:49.0,2023-10-17T08:08:49.0
Segment End,5236210924,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,99,0.0116448,,2023-10-17T08:08:50.0,2023-10-17T08:08:50.0
Segment Start,5236111772,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,74,0.0,,2023-10-17T08:06:36.0,2023-10-17T08:06:36.0
Segment End,5236111772,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,75,0.0302944,,2023-10-17T08:06:38.0,2023-10-17T08:06:38.0
Segment Start,5236110330,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,110,0.02,,2023-10-17T08:09:43.0,2023-10-17T08:09:43.0
Segment End,5236110330,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,111,0.0266572,,2023-10-17T08:09:45.0,2023-10-17T08:09:45.0
Segment Start,5218207701,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,180,0.0,,2023-10-17T08:15:49.0,2023-10-17T08:15:49.0
Segment End,5218207701,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,181,0.0387572,,2023-10-17T08:15:53.0,2023-10-17T08:15:53.0
Segment Start,8065207496,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,2,4.16,,2023-10-17T07:34:11.0,2023-10-17T07:34:11.0
Segment End,8065207496,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,3,0.0352984,,2023-10-17T07:34:15.0,2023-10-17T07:34:15.0
Segment Start,5236207286,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,202,0.0,,2023-10-17T08:18:01.0,2023-10-17T08:18:01.0
Segment End,5236207286,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,203,0.1096342,,2023-10-17T08:18:10.0,2023-10-17T08:18:10.0
Segment Start,5510007028,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,14,0.0,,2023-10-17T07:35:40.0,2023-10-17T07:35:40.0
Segment End,5510007028,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,15,0.13851449999999998,,2023-10-17T07:35:52.0,2023-10-17T07:35:52.0
Segment Start,5510006964,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,16,0.0,,2023-10-17T07:35:52.0,2023-10-17T07:35:52.0
Segment End,5510006964,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,17,0.6392220999999999,,2023-10-17T07:36:50.0,2023-10-17T07:36:50.0
Segment Start,5236109139,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,126,0.0,,2023-10-17T08:11:23.0,2023-10-17T08:11:23.0
Segment End,5236109139,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,127,0.0247969,,2023-10-17T08:11:25.0,2023-10-17T08:11:25.0
Segment Start,5236211077,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,96,0.0,,2023-10-17T08:08:37.0,2023-10-17T08:08:37.0
Segment End,5236211077,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,97,0.1343059,,2023-10-17T08:08:49.0,2023-10-17T08:08:49.0
Segment Start,5236110343,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,104,0.0,,2023-10-17T08:09:32.0,2023-10-17T08:09:32.0
Segment End,5236110343,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,105,0.024946799999999998,,2023-10-17T08:09:34.0,2023-10-17T08:09:34.0
