Variable,Value
"x[52361078410,52362082211,WodoStateHaz_1]",0.0
"x[52362085141,55101071270,WodoStateHaz_1]",-0.0
"x[52181075561,52362085320,WodoStateHaz_1]",-0.0
"x[52362103410,52361117720,WodoStateHaz_1]",0.0
"x[55100072841,55101068371,WodoStateHaz_1]",0.0
"x[52362117730,55100072040,WodoStateHaz_1]",0.0
"x[52362089971,52361091391,WodoStateHaz_1]",0.0
"x[52180075471,52181076840,WodoStateHaz_1]",-0.0
"x[52361091181,52362088061,WodoStateHaz_1]",0.0
"x[52181075561,55100066340,WodoStateHaz_1]",-0.0
"x[52362091361,52362101201,WodoStateHaz_1]",0.0
"x[80662074660,52362078461,WodoStateHaz_1]",0.0
"x[55100066110,52362088880,WodoStateHaz_1]",0.0
"x[55100072840,52362087040,WodoStateHaz_1]",0.0
"x[52362119991,52362101200,WodoStateHaz_1]",-0.0
"x[80652075271,52362110770,WodoStateHaz_1]",-0.0
"x[55100069641,52362079591,WodoStateHaz_1]",0.0
"x[52362079190,52362079191,WodoStateHaz_1]",1.0
"x[80652076030,55100066340,WodoStateHaz_1]",0.0
"x[52362088881,52362097371,WodoStateHaz_1]",0.0
"x[52361085340,52362097371,WodoStateHaz_1]",0.0
"x[52362111971,55101071740,WodoStateHaz_1]",-0.0
"x[52362073460,52362095851,WodoStateHaz_1]",0.0
"x[80652075270,52362115631,WodoStateHaz_1]",0.0
"x[80652075270,55100067820,WodoStateHaz_1]",0.0
"x[52361117581,80652074960,WodoStateHaz_1]",-0.0
"x[52362085321,52362115281,WodoStateHaz_1]",0.0
"x[52181075731,52362103091,WodoStateHaz_1]",0.0
t[55101066071],460.08579999999944
"x[55100066110,52181075560,WodoStateHaz_1]",0.0
"x[52362088881,55100066110,WodoStateHaz_1]",-0.0
"x[52182078151,52182078150,WodoStateHaz_1]",0.0
"x[80662074661,52362119991,WodoStateHaz_1]",0.0
"x[52362117650,52362101000,WodoStateHaz_1]",0.0
"x[52361085341,52362101200,WodoStateHaz_1]",-0.0
"x[52362115631,55100066340,WodoStateHaz_1]",-0.0
"x[52182077951,52181075561,WodoStateHaz_1]",0.0
"x[55101066070,55100072840,WodoStateHaz_1]",0.0
"x[55100066490,52362121191,WodoStateHaz_1]",0.0
"x[52362072281,52362072281,WodoStateHaz_1]",0.0
"x[52362110771,52362103411,WodoStateHaz_1]",0.0
"x[80662076521,52362085141,WodoStateHaz_1]",0.0
"x[52362079190,55100067820,WodoStateHaz_1]",0.0
"x[55100070280,52361117581,WodoStateHaz_1]",0.0
"x[52362072190,52362121191,WodoStateHaz_1]",0.0
"x[52362101201,52362078100,WodoStateHaz_1]",-0.0
"x[52182077951,55100066341,WodoStateHaz_1]",0.0
"x[52362101201,55101069660,WodoStateHaz_1]",-0.0
"x[52362117731,52361091390,WodoStateHaz_1]",-0.0
"x[52180075470,52181075730,WodoStateHaz_1]",0.0
"x[80152074471,52362090981,WodoStateHaz_1]",0.0
"x[52362097371,52362117170,WodoStateHaz_1]",-0.0
"x[55100074741,52362117590,WodoStateHaz_1]",-0.0
"x[52362082211,55100071721,WodoStateHaz_1]",0.0
"x[52360073661,52362119991,WodoStateHaz_1]",0.0
"x[55101069370,55101066070,WodoStateHaz_1]",0.0
"x[55100074741,52361085181,WodoStateHaz_1]",0.0
"x[52182077951,52361091390,WodoStateHaz_1]",-0.0
"x[52362103411,52362091361,WodoStateHaz_1]",0.0
"x[52362090981,52362103091,WodoStateHaz_1]",0.0
"x[52362102821,52362101001,WodoStateHaz_1]",0.0
"x[52362086121,52362117590,WodoStateHaz_1]",-0.0
"x[52362115281,1010,WodoStateHaz_1]",-0.0
"x[25700103690,52362091360,WodoStateHaz_1]",0.0
"x[55100067820,55101072160,WodoStateHaz_1]",0.0
"x[52181076840,52362086121,WodoStateHaz_1]",0.0
"x[55101071741,52181075650,WodoStateHaz_1]",-0.0
"x[55101071740,55101072161,WodoStateHaz_1]",0.0
"x[52362101200,52362073461,WodoStateHaz_1]",0.0
"x[55101074621,52180076830,WodoStateHaz_1]",-0.0
"x[52361091180,52362113930,WodoStateHaz_1]",0.0
"x[52362091110,55101068371,WodoStateHaz_1]",0.0
"x[52361117581,55101074620,WodoStateHaz_1]",-0.0
"x[52182078151,52361073931,WodoStateHaz_1]",0.0
"x[55101069660,52362071860,WodoStateHaz_1]",0.0
"x[52360073911,55100074741,WodoStateHaz_1]",0.0
"x[52362097370,52362091360,WodoStateHaz_1]",0.0
"x[52362121801,52362072860,WodoStateHaz_1]",-0.0
"x[52362088880,55101066851,WodoStateHaz_1]",0.0
"x[52361117580,55101072161,WodoStateHaz_1]",0.0
"x[52362080381,52362082210,WodoStateHaz_1]",-0.0
"x[52362119991,52361091181,WodoStateHaz_1]",0.0
"x[52362113710,52362072860,WodoStateHaz_1]",0.0
"x[52181075650,55101069370,WodoStateHaz_1]",0.0
"x[55101072160,52182078150,WodoStateHaz_1]",0.0
"x[52362072191,55101069660,WodoStateHaz_1]",-0.0
"x[52362088060,52182077010,WodoStateHaz_1]",0.0
"x[52180075591,52180075591,WodoStateHaz_1]",0.0
"x[52182077010,52362086120,WodoStateHaz_1]",0.0
"x[52362079590,52360073911,WodoStateHaz_1]",0.0
"x[52362072190,52361085341,WodoStateHaz_1]",0.0
"x[52362085320,52362115281,WodoStateHaz_1]",0.0
"x[52361117581,55100071721,WodoStateHaz_1]",0.0
"x[52362121191,80152074931,WodoStateHaz_1]",0.0
"x[52362079191,52362103091,WodoStateHaz_1]",0.0
"x[55101073921,80662076521,WodoStateHaz_1]",0.0
